CID,CRPName
N00027607,   "Lawhorn, Zane Rene"
N00034068,   "Lawrence, Brenda"
N00035852,   "Lawrence, Henry"
N00036857,   "Lawrence, John"
N00036348,   "Lawrence, Nate"
N00036114,   "Lawson, Howard"
N00035334,   "Leach, Ron"
N00036243,   "Leader, William"
N00009918,   "Leahy, Patrick"
N00035833,   "Leavens, Drew"
N00008046,   "Lee, Barbara"
N00035847,   "Lee, Luther"
N00031696,   "Lee, Mike"
N00035383,   "Leflore, Burton"
N00036732,   "Leiber, Arthur"
N00035837,   "Leing, George"
N00029779,   "Leone, Ross"
N00036750,   "Lester, Mark"
N00035967,   "Letsos, Niko"
N00036768,   "Letton, Don"
N00036852,   "Leuenberger, Jim"
N00001691,   "Levin, Carl"
N00003950,   "Levin, Sander"
N00002577,   "Lewis, John"
N00035682,   "Lewis, John"
N00003796,   "Leyva, Mark J"
N00032290,   "Lieber, Arthur Henry"
N00035295,   "Lieberman, Richard"
N00035825,   "Lieu, Ted"
N00027239,   "Lipinski, Daniel"
N00036119,   "Livingston, Gregory Seal"
N00036796,   "Loban, Jess"
N00000851,   "LoBiondo, Frank A"
N00027741,   "Loebsack, David"
N00035990,   "Loewe, Mark"
N00007479,   "Lofgren, Zoe"
N00035556,   "Logue, Dan"
N00030676,   "Long, Billy"
N00036536,   "Long, Charles A"
N00035018,   "Lord, Randall"
N00035347,   "Loudermilk, Barry"
N00033842,   "Love, Mia"
N00033274,   "Lowenthal, Alan"
N00035891,   "Lowenthal, Jason Philip"
N00001024,   "Lowey, Nita M"
N00005559,   "Lucas, Frank D"
N00030026,   "Luetkemeyer, Blaine"
N00033004,   "Lugo, Christina"
N00029562,   "Lujan, Ben R"
